,no,type,people,org,article,comm
1,1,新聞採訪報導獎,謝邦派,中國時報,「中船程造大貨櫃輪，甲板用料規格不符，陽明海運拒收」「中船、陽明獲協議，賠償六百萬美金，處理商務事件，維持事態本質」,中船乘造貨輪，出了差錯，自是不願張揚，記者謝振邦先生能獨家揭發此一造船史上最大紕漏，顯見佈線周密，勤於採訪，報導中能就錯用不符規格鋼板的經過、後果，詳細交代，思路清晰，行文流暢，且對中船陽明二公司本著就商言商的理性態度，採取補救賠償措施，謝記者的深入挖掘中船效率不彰，業務不振，對其他公營公司能起警惕作用，對國家社會改革具有莫大影響。
2,1,新聞特寫獎,陳長華,聯合報,故宮一甲子,主題觀點一致，文筆洗鍊，且分析細膩，允唯一優良特寫，特鄭重推薦。
3,1,新聞特寫獎,馬西屏陳建宇,中央日報,養殖業最寒冷的冬天,主題明確，分析客觀深入，文字暢通洗鍊，允唯一優良特寫，特鄭重推薦。
4,1,新聞評論獎,楊乃藩,中國時報,一、請停止愛國獎券發行以遏賭風二、迎接正確使用票據時代的來臨以上等一百廿篇社論,楊乃藩先生評論範圍涉及甚多公眾所關切的新聞事件，態度公正，資料正確，見解精闢，行文有力，所提建議，大部分均具可行性，一百二十篇作品中大半均已引發直接或間接之迴響，並促成改進措施，對公眾利益貢獻殊多。
5,1,新聞攝影獎,魏志德,中國時報,「愛與關懷」讓殘障者的才藝能自然發揮出來,「輪椅競速，龍爭虎鬥」選材感人，技巧圓熟，照片深具感動，頗能掌握現場之真實氣氛，富感染力，且一組三張，照片編排活潑，富創意，為攝影之優秀範例。
6,2,新聞採訪報導獎,梁華棟、顏光佑、王麗美、黃素絹、陳承中、林雨鑫、姚鷺,聯合報,銀行房屋貸款大搬家獨家新聞報導,銀行房屋貸款大搬家新聞報導-揭發銀行房屋貸款利率偏高的事實。銀行房屋貸款利率偏高，向為消費者所詬病，聯合報經濟小組針對這個問題，進行專題策劃採訪，廣泛報導金融機構房屋貸款的條件，提出各種不合理現象，並深入探討消費者與銀行間的關係與權益，充分發揮新聞採訪的功能；在資料運用與寫作處理上，也都有良好的表現。
7,2,新聞特寫獎,林英、黃美惠、陳幼君、黃葳威、黃寶萍,民生報,「智慧九十」系列專欄,這是一個精心設計的專欄，以採訪配合詩讚、速描、攝影等，顯得非常豐富而精緻。各篇專訪頗能掌握重點，在有限的篇幅內，以生動的筆觸，將每位大師的特色和人生哲學表現出來，使每位大師的神韻躍然紙上，是很出色的特寫。
8,2,新聞評論獎,王作榮,工商時報,「昔也病在法度，今也病在紀綱」論處理當前局勢之道,主題雖大部集中於財經問題，間亦從經濟觀點評析當前政治社會現象，憂時憂國之心溢於字裡行間。用字措辭尤見洗鍊，幾篇篇可讀，足為時文之典範。作者學養深厚，洞澈當前經濟、財政、政治等問題之癥結，文章氣勢雄渾，且不失溫厚。
9,2,新聞攝影獎,林錫銘,中央日報,勇者之名,圖片極為感人，充分表達了每秒每分必爭的新聞感，及火災時同胞互助的人性光輝。人物表情生動，將消防隊員出生入死的精神表露無遺。攝影及構圖技巧均屬上乘。
10,3,新聞採訪報導獎,冉亮,工商時報,透視中美經貿談判,作者報導影響深遠之中美貿易談判問題，甚能掌握重點，並根據第一手資料，詳實說明與分析問題之每一層面，足以協助我國工商界及一般民眾瞭解美方立場及政策，而作適當之因應。
11,3,新聞特寫獎,王景弘、翁台生、陳承中,聯合報,探索遠洋漁業的隱憂,七篇特寫合成一系列報導，各篇題材分配及全局貫串呼應，頗見規劃設計用心；結構安排，用字遣詞，都能掌握新聞特寫應有風格。國內外遠洋漁業問題的實地採訪與靜態資料交叉處理，佈局活絡，對事態的分析與解釋亦有相當發揮。
